market,current_oi,oiCap,fetched_at_utc
AAVERUSDPERP,,1001,2026-03-15T14:35:27+00:00
ADARUSDPERP,,423953,2026-03-15T14:35:27+00:00
AERORUSDPERP,,354000,2026-03-15T14:35:27+00:00
AI16ZRUSDPERP,,43000,2026-03-15T14:35:27+00:00
APERUSDPERP,,711634,2026-03-15T14:35:27+00:00
APTRUSDPERP,,116046,2026-03-15T14:35:27+00:00
ARBRUSDPERP,,1103642,2026-03-15T14:35:27+00:00
ATOMRUSDPERP,,252506,2026-03-15T14:35:27+00:00
AVAXRUSDPERP,,11497,2026-03-15T14:35:27+00:00
BERARUSDPERP,,160184,2026-03-15T14:35:27+00:00
BNBRUSDPERP,,172,2026-03-15T14:35:27+00:00
BTCRUSDPERP,,145,2026-03-15T14:35:27+00:00
CRVRUSDPERP,,459171,2026-03-15T14:35:27+00:00
DOGERUSDPERP,,1193581,2026-03-15T14:35:27+00:00
EIGENRUSDPERP,,589156,2026-03-15T14:35:27+00:00
ENARUSDPERP,,1069465,2026-03-15T14:35:27+00:00
ETHRUSDPERP,,4950,2026-03-15T14:35:27+00:00
FARTCOINRUSDPERP,,1835117,2026-03-15T14:35:27+00:00
GOATRUSDPERP,,5801398,2026-03-15T14:35:27+00:00
GRASSRUSDPERP,,307591,2026-03-15T14:35:27+00:00
GRIFFAINRUSDPERP,,3635691,2026-03-15T14:35:27+00:00
HYPERUSDPERP,,37560,2026-03-15T14:35:27+00:00
INJRUSDPERP,,81561,2026-03-15T14:35:27+00:00
IPRUSDPERP,,75573,2026-03-15T14:35:27+00:00
JTORUSDPERP,,2300,2026-03-15T14:35:27+00:00
JUPRUSDPERP,,671599,2026-03-15T14:35:27+00:00
KAITORUSDPERP,,221000,2026-03-15T14:35:27+00:00
kBONKRUSDPERP,,18584861,2026-03-15T14:35:27+00:00
kNEIRORUSDPERP,,1669112,2026-03-15T14:35:27+00:00
kPEPERUSDPERP,,33416220,2026-03-15T14:35:27+00:00
kSHIBRUSDPERP,,19315919,2026-03-15T14:35:27+00:00
LDORUSDPERP,,375216,2026-03-15T14:35:27+00:00
LINEARUSDPERP,,2000000,2026-03-15T14:35:27+00:00
LINKRUSDPERP,,12317,2026-03-15T14:35:27+00:00
LTCRUSDPERP,,2041,2026-03-15T14:35:27+00:00
MEGARUSDPERP,,12500,2026-03-15T14:35:27+00:00
MERUSDPERP,,268908,2026-03-15T14:35:27+00:00
MORPHORUSDPERP,,127411,2026-03-15T14:35:27+00:00
MOVERUSDPERP,,250000,2026-03-15T14:35:27+00:00
NEARRUSDPERP,,375765,2026-03-15T14:35:27+00:00
ONDORUSDPERP,,2321283,2026-03-15T14:35:27+00:00
OPRUSDPERP,,916239,2026-03-15T14:35:27+00:00
PAXGRUSDPERP,,350,2026-03-15T14:35:27+00:00
PENDLERUSDPERP,,86908,2026-03-15T14:35:27+00:00
PENGURUSDPERP,,157491632,2026-03-15T14:35:27+00:00
POPCATRUSDPERP,,2158871,2026-03-15T14:35:27+00:00
PROVERUSDPERP,,50000,2026-03-15T14:35:27+00:00
PUMPRUSDPERP,,17500000,2026-03-15T14:35:27+00:00
PYTHRUSDPERP,,2387811,2026-03-15T14:35:27+00:00
SEIRUSDPERP,,1768827,2026-03-15T14:35:27+00:00
SOLRUSDPERP,,17703,2026-03-15T14:35:27+00:00
SRUSDPERP,,2672873,2026-03-15T14:35:27+00:00
SUIRUSDPERP,,115304,2026-03-15T14:35:27+00:00
SYRUPRUSDPERP,,1683000,2026-03-15T14:35:27+00:00
TAORUSDPERP,,2733,2026-03-15T14:35:27+00:00
TIARUSDPERP,,330363,2026-03-15T14:35:27+00:00
TONRUSDPERP,,410039,2026-03-15T14:35:27+00:00
TRUMPRUSDPERP,,320294,2026-03-15T14:35:27+00:00
TRXRUSDPERP,,19845288,2026-03-15T14:35:27+00:00
UNIRUSDPERP,,28478,2026-03-15T14:35:27+00:00
VIRTUALRUSDPERP,,3957424,2026-03-15T14:35:27+00:00
WIFRUSDPERP,,666028,2026-03-15T14:35:27+00:00
WLDRUSDPERP,,4103758,2026-03-15T14:35:27+00:00
WLFIRUSDPERP,,500000,2026-03-15T14:35:27+00:00
XPLRUSDPERP,,200000,2026-03-15T14:35:27+00:00
XRPRUSDPERP,,1090260,2026-03-15T14:35:27+00:00
YZYRUSDPERP,,100000,2026-03-15T14:35:27+00:00
ZORARUSDPERP,,250000,2026-03-15T14:35:27+00:00
ZRORUSDPERP,,54057,2026-03-15T14:35:27+00:00
